"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"257.","Non-Stop","6.9","(2014)","106 min","
Action, Mystery, Thriller            ","243,524","$92.17M","
    Director:
Jaume Collet-Serra
                 | 
    Stars:
Liam Neeson, 
Julianne Moore, 
Scoot McNairy, 
Michelle Dockery
    ","
    An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes."
"258.","Dredd","7.1","(2012)","95 min","
Action, Crime, Sci-Fi            ","243,241","$13.41M","
    Director:
Pete Travis
                 | 
    Stars:
Karl Urban, 
Olivia Thirlby, 
Lena Headey, 
Rachel Wood
    ","
    In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
"259.","Alien: Covenant","6.4","(2017)","122 min","
Horror, Sci-Fi, Thriller            ","243,235","$74.26M","
    Director:
Ridley Scott
                 | 
    Stars:
Michael Fassbender, 
Katherine Waterston, 
Billy Crudup, 
Danny McBride
    ","
    The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
"260.","Kung Fu Panda 2","7.2","(2011)","90 min","
Animation, Action, Adventure            ","242,800","$165.25M","
    Director:
Jennifer Yuh Nelson
                 | 
    Stars:
Jack Black, 
Angelina Jolie, 
Jackie Chan, 
Dustin Hoffman
    ","
    Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
"261.","John Wick: Chapter 3 - Parabellum","7.5","(2019)","131 min","
Action, Crime, Thriller            ","242,751","$171.02M","
    Director:
Chad Stahelski
                 | 
    Stars:
Keanu Reeves, 
Halle Berry, 
Ian McShane, 
Laurence Fishburne
    ","
    John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
"262.","Unknown","6.8","(I) (2011)","113 min","
Action, Mystery, Thriller            ","242,196","$63.69M","
    Director:
Jaume Collet-Serra
                 | 
    Stars:
Liam Neeson, 
Diane Kruger, 
January Jones, 
Aidan Quinn
    ","
    A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
"263.","The A-Team","6.7","(2010)","117 min","
Action, Adventure, Thriller            ","241,286","$77.22M","
    Director:
Joe Carnahan
                 | 
    Stars:
Liam Neeson, 
Bradley Cooper, 
Sharlto Copley, 
Jessica Biel
    ","
    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
"264.","Dark Shadows","6.2","(2012)","113 min","
Comedy, Fantasy, Horror            ","239,781","$79.73M","
    Director:
Tim Burton
                 | 
    Stars:
Johnny Depp, 
Michelle Pfeiffer, 
Eva Green, 
Helena Bonham Carter
    ","
    An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
"265.","Predestination","7.5","(I) (2014)","97 min","
Action, Adventure, Drama            ","239,763","$0.07M","
    Directors:
Michael Spierig, 
Peter Spierig
                 | 
    Stars:
Ethan Hawke, 
Sarah Snook, 
Noah Taylor, 
Madeleine West
    ","
    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos."
"266.","Creed","7.6","(II) (2015)","133 min","
Drama, Sport            ","238,115","$109.77M","
    Director:
Ryan Coogler
                 | 
    Stars:
Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad
    ","
    The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
"267.","Lincoln","7.3","(2012)","150 min","
Biography, Drama, History            ","237,327","$182.21M","
    Director:
Steven Spielberg
                 | 
    Stars:
Daniel Day-Lewis, 
Sally Field, 
David Strathairn, 
Joseph Gordon-Levitt
    ","
    As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
"268.","Noah","5.8","(2014)","138 min","
Action, Adventure, Drama            ","237,250","$101.20M","
    Director:
Darren Aronofsky
                 | 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson
    ","
    Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world."
"269.","The Place Beyond the Pines","7.3","(2012)","140 min","
Crime, Drama, Thriller            ","237,057","$21.38M","
    Director:
Derek Cianfrance
                 | 
    Stars:
Ryan Gosling, 
Bradley Cooper, 
Eva Mendes, 
Craig Van Hook
    ","
    A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
"270.","The Adjustment Bureau","7.0","(2011)","106 min","
Romance, Sci-Fi, Thriller            ","235,691","$62.50M","
    Director:
George Nolfi
                 | 
    Stars:
Matt Damon, 
Emily Blunt, 
Lisa Thoreson, 
Florence Kastriner
    ","
    The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart."
"271.","Warcraft","6.8","(2016)","123 min","
Action, Adventure, Fantasy            ","235,470","$47.37M","
    Director:
Duncan Jones
                 | 
    Stars:
Travis Fimmel, 
Paula Patton, 
Ben Foster, 
Dominic Cooper
    ","
    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
"272.","The Grey","6.8","(2011)","117 min","
Action, Adventure, Drama            ","235,406","$51.58M","
    Director:
Joe Carnahan
                 | 
    Stars:
Liam Neeson, 
Dermot Mulroney, 
Frank Grillo, 
Dallas Roberts
    ","
    After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
"273.","Chronicle","7.0","(2012)","84 min","
Drama, Sci-Fi, Thriller            ","235,084","$64.58M","
    Director:
Josh Trank
                 | 
    Stars:
Dane DeHaan, 
Alex Russell, 
Michael B. Jordan, 
Michael Kelly
    ","
    Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides."
"274.","Total Recall","6.3","(I) (2012)","118 min","
Action, Adventure, Sci-Fi            ","235,054","$58.88M","
    Director:
Len Wiseman
                 | 
    Stars:
Colin Farrell, 
Bokeem Woodbine, 
Bryan Cranston, 
Kate Beckinsale
    ","
    A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
"275.","Now You See Me 2","6.5","(2016)","129 min","
Action, Adventure, Comedy            ","234,750","$65.08M","
    Director:
Jon M. Chu
                 | 
    Stars:
Jesse Eisenberg, 
Mark Ruffalo, 
Woody Harrelson, 
Dave Franco
    ","
    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
"276.","The Other Guys","6.6","(2010)","107 min","
Action, Comedy, Crime            ","234,015","$119.22M","
    Director:
Adam McKay
                 | 
    Stars:
Will Ferrell, 
Mark Wahlberg, 
Derek Jeter, 
Eva Mendes
    ","
    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
"277.","Seven Psychopaths","7.2","(2012)","110 min","
Comedy, Crime            ","233,145","$15.02M","
    Director:
Martin McDonagh
                 | 
    Stars:
Colin Farrell, 
Woody Harrelson, 
Sam Rockwell, 
Christopher Walken
    ","
    A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
"278.","Manchester by the Sea","7.8","(2016)","137 min","
Drama            ","232,518","$47.70M","
    Director:
Kenneth Lonergan
                 | 
    Stars:
Casey Affleck, 
Michelle Williams, 
Kyle Chandler, 
Lucas Hedges
    ","
    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies."
"279.","Incredibles 2","7.6","(2018)","118 min","
Animation, Action, Adventure            ","232,074","$608.58M","
    Director:
Brad Bird
                 | 
    Stars:
Craig T. Nelson, 
Holly Hunter, 
Sarah Vowell, 
Huck Milner
    ","
    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
"280.","Battleship","5.8","(2012)","131 min","
Action, Adventure, Sci-Fi            ","230,756","$65.42M","
    Director:
Peter Berg
                 | 
    Stars:
Alexander Skarsg<U+00E5>rd, 
Brooklyn Decker, 
Liam Neeson, 
Rihanna
    ","
    A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
"281.","Finding Dory","7.3","(2016)","97 min","
Animation, Adventure, Comedy            ","228,621","$486.30M","
    Directors:
Andrew Stanton, 
Angus MacLane
                 | 
    Stars:
Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson
    ","
    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
"282.","Paul","7.0","(2011)","104 min","
Adventure, Comedy, Sci-Fi            ","228,375","$37.41M","
    Director:
Greg Mottola
                 | 
    Stars:
Simon Pegg, 
Nick Frost, 
Seth Rogen, 
Mia Stallard
    ","
    Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51."
"283.","Shazam!","7.1","(2019)","132 min","
Action, Adventure, Comedy            ","228,258","$140.37M","
    Director:
David F. Sandberg
                 | 
    Stars:
Zachary Levi, 
Mark Strong, 
Asher Angel, 
Jack Dylan Grazer
    ","
    A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy."
"284.","The Descendants","7.3","(2011)","115 min","
Comedy, Drama            ","228,141","$82.58M","
    Director:
Alexander Payne
                 | 
    Stars:
George Clooney, 
Shailene Woodley, 
Amara Miller, 
Nick Krause
    ","
    A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident."
"285.","Rango","7.2","(2011)","107 min","
Animation, Adventure, Comedy            ","227,124","$123.48M","
    Director:
Gore Verbinski
                 | 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin
    ","
    Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
"286.","Sucker Punch","6.0","(2011)","110 min","
Action, Adventure, Fantasy            ","224,424","$36.39M","
    Director:
Zack Snyder
                 | 
    Stars:
Emily Browning, 
Vanessa Hudgens, 
Abbie Cornish, 
Jena Malone
    ","
    A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape."
"287.","The Artist","7.9","(I) (2011)","100 min","
Comedy, Drama, Romance            ","224,404","$44.67M","
    Director:
Michel Hazanavicius
                 | 
    Stars:
Jean Dujardin, 
B¨¦r¨¦nice Bejo, 
John Goodman, 
James Cromwell
    ","
    An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era."
"288.","Don Jon","6.5","(2013)","90 min","
Comedy, Drama, Romance            ","223,543","$24.48M","
    Director:
Joseph Gordon-Levitt
                 | 
    Stars:
Joseph Gordon-Levitt, 
Scarlett Johansson, 
Julianne Moore, 
Tony Danza
    ","
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
"289.","Nocturnal Animals","7.5","(2016)","116 min","
Drama, Thriller            ","223,515","$10.64M","
    Director:
Tom Ford
                 | 
    Stars:
Amy Adams, 
Jake Gyllenhaal, 
Michael Shannon, 
Aaron Taylor-Johnson
    ","
    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
"290.","I Am Number Four","6.1","(2011)","111 min","
Action, Adventure, Sci-Fi            ","223,276","$55.10M","
    Director:
D.J. Caruso
                 | 
    Stars:
Alex Pettyfer, 
Timothy Olyphant, 
Dianna Agron, 
Teresa Palmer
    ","
    Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
"291.","Sully","7.4","(2016)","96 min","
Biography, Drama            ","223,190","$125.07M","
    Director:
Clint Eastwood
                 | 
    Stars:
Tom Hanks, 
Aaron Eckhart, 
Laura Linney, 
Valerie Mahaffey
    ","
    The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
"292.","The Twilight Saga: Breaking Dawn - Part 2","5.5","(2012)","115 min","
Adventure, Drama, Fantasy            ","222,994","$292.30M","
    Director:
Bill Condon
                 | 
    Stars:
Kristen Stewart, 
Robert Pattinson, 
Taylor Lautner, 
Peter Facinelli
    ","
    After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
"293.","Spy","7.0","(2015)","120 min","
Action, Comedy, Crime            ","222,949","$110.83M","
    Director:
Paul Feig
                 | 
    Stars:
Melissa McCarthy, 
Rose Byrne, 
Jude Law, 
Jason Statham
    ","
    A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
"294.","Chappie","6.8","(2015)","120 min","
Action, Crime, Drama            ","222,700","$31.57M","
    Director:
Neill Blomkamp
                 | 
    Stars:
Sharlto Copley, 
Dev Patel, 
Hugh Jackman, 
Sigourney Weaver
    ","
    In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
"295.","Lawless","7.3","(2012)","116 min","
Crime, Drama            ","221,618","$37.40M","
    Director:
John Hillcoat
                 | 
    Stars:
Tom Hardy, 
Shia LaBeouf, 
Guy Pearce, 
Jason Clarke
    ","
    Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
"296.","Escape Plan","6.7","(2013)","115 min","
Action, Thriller            ","221,050","$25.13M","
    Director:
Mikael H<U+00E5>fstr<U+00F6>m
                 | 
    Stars:
Sylvester Stallone, 
Arnold Schwarzenegger, 
50 Cent, 
Vincent D'Onofrio
    ","
    When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside."
"297.","End of Watch","7.6","(2012)","109 min","
Action, Crime, Drama            ","220,952","$41.00M","
    Director:
David Ayer
                 | 
    Stars:
Jake Gyllenhaal, 
Michael Pe<U+00F1>a, 
Anna Kendrick, 
America Ferrera
    ","
    Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
"298.","Grown Ups","5.9","(I) (2010)","102 min","
Comedy            ","220,355","$162.00M","
    Director:
Dennis Dugan
                 | 
    Stars:
Adam Sandler, 
Salma Hayek, 
Kevin James, 
Chris Rock
    ","
    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
"299.","The Twilight Saga: Eclipse","5.0","(2010)","124 min","
Adventure, Drama, Fantasy            ","219,763","$300.53M","
    Director:
David Slade
                 | 
    Stars:
Kristen Stewart, 
Robert Pattinson, 
Taylor Lautner, 
Xavier Samuel
    ","
    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
"300.","Star Trek Beyond","7.1","(2016)","122 min","
Action, Adventure, Sci-Fi            ","219,737","$158.85M","
    Director:
Justin Lin
                 | 
    Stars:
Chris Pine, 
Zachary Quinto, 
Karl Urban, 
Zoe Saldana
    ","
    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
"301.","The Greatest Showman","7.6","(2017)","105 min","
Biography, Drama, Musical            ","219,353","$174.34M","
    Director:
Michael Gracey
                 | 
    Stars:
Hugh Jackman, 
Michelle Williams, 
Zac Efron, 
Zendaya
    ","
    Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
"302.","Megamind","7.2","(2010)","95 min","
Animation, Action, Comedy            ","218,820","$148.42M","
    Director:
Tom McGrath
                 | 
    Stars:
Will Ferrell, 
Jonah Hill, 
Brad Pitt, 
Tina Fey
    ","
    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
"303.","Ender's Game","6.6","(2013)","114 min","
Action, Adventure, Family            ","217,918","$61.74M","
    Director:
Gavin Hood
                 | 
    Stars:
Harrison Ford, 
Asa Butterfield, 
Hailee Steinfeld, 
Abigail Breslin
    ","
    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind."
"304.","War for the Planet of the Apes","7.4","(2017)","140 min","
Action, Adventure, Drama            ","217,137","$146.88M","
    Director:
Matt Reeves
                 | 
    Stars:
Andy Serkis, 
Woody Harrelson, 
Steve Zahn, 
Karin Konoval
    ","
    After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
"305.","The Tourist","6.0","(I) (2010)","103 min","
Action, Adventure, Crime            ","216,489","$67.63M","
    Director:
Florian Henckel von Donnersmarck
                 | 
    Stars:
Johnny Depp, 
Angelina Jolie, 
Paul Bettany, 
Timothy Dalton
    ","
    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
"306.","The Twilight Saga: Breaking Dawn - Part 1","4.9","(2011)","117 min","
Adventure, Drama, Fantasy            ","216,119","$281.29M","
    Director:
Bill Condon
                 | 
    Stars:
Kristen Stewart, 
Robert Pattinson, 
Taylor Lautner, 
Gil Birmingham
    ","
    The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
"307.","The Lone Ranger","6.4","(2013)","150 min","
Action, Adventure, Western            ","215,719","$89.30M","
    Director:
Gore Verbinski
                 | 
    Stars:
Johnny Depp, 
Armie Hammer, 
William Fichtner, 
Tom Wilkinson
    ","
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
"308.","Lady Bird","7.4","(2017)","94 min","
Comedy, Drama            ","215,491","$48.96M","
    Director:
Greta Gerwig
                 | 
    Stars:
Saoirse Ronan, 
Laurie Metcalf, 
Tracy Letts, 
Lucas Hedges
    ","
    In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
"309.","Hotel Transylvania","7.1","(2012)","91 min","
Animation, Comedy, Family            ","215,068","$148.31M","
    Director:
Genndy Tartakovsky
                 | 
    Stars:
Adam Sandler, 
Kevin James, 
Andy Samberg, 
Selena Gomez
    ","
    Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
"310.","Warm Bodies","6.9","(2013)","98 min","
Comedy, Horror, Romance            ","214,356","$66.38M","
    Director:
Jonathan Levine
                 | 
    Stars:
Nicholas Hoult, 
Teresa Palmer, 
John Malkovich, 
Analeigh Tipton
    ","
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
"311.","The Conjuring 2","7.3","(2016)","134 min","
Horror, Mystery, Thriller            ","212,946","$102.47M","
    Director:
James Wan
                 | 
    Stars:
Vera Farmiga, 
Patrick Wilson, 
Madison Wolfe, 
Frances O'Connor
    ","
    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit."
"312.","Maze Runner: The Scorch Trials","6.3","(2015)","131 min","
Action, Adventure, Sci-Fi            ","212,272","$81.70M","
    Director:
Wes Ball
                 | 
    Stars:
Dylan O'Brien, 
Kaya Scodelario, 
Thomas Brodie-Sangster, 
Giancarlo Esposito
    ","
    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
"313.","Just Go with It","6.4","(2011)","117 min","
Comedy, Romance            ","211,939","$103.03M","
    Director:
Dennis Dugan
                 | 
    Stars:
Adam Sandler, 
Jennifer Aniston, 
Brooklyn Decker, 
Nicole Kidman
    ","
    On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
"314.","RoboCop","6.1","(2014)","117 min","
Action, Crime, Sci-Fi            ","211,646","$58.61M","
    Director:
Jos¨¦ Padilha
                 | 
    Stars:
Joel Kinnaman, 
Gary Oldman, 
Michael Keaton, 
Abbie Cornish
    ","
    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
"315.","The Ides of March","7.1","(2011)","101 min","
Drama, Thriller            ","211,150","$40.96M","
    Director:
George Clooney
                 | 
    Stars:
Paul Giamatti, 
George Clooney, 
Philip Seymour Hoffman, 
Ryan Gosling
    ","
    An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail."
"316.","Transcendence","6.3","(I) (2014)","119 min","
Action, Drama, Sci-Fi            ","211,143","$23.02M","
    Director:
Wally Pfister
                 | 
    Stars:
Johnny Depp, 
Rebecca Hall, 
Morgan Freeman, 
Cillian Murphy
    ","
    A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program."
"317.","The Adventures of Tintin","7.3","(2011)","107 min","
Animation, Action, Adventure            ","210,401","$77.59M","
    Director:
Steven Spielberg
                 | 
    Stars:
Jamie Bell, 
Andy Serkis, 
Daniel Craig, 
Simon Pegg
    ","
    Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor."
"318.","A Separation","8.3","(2011)","123 min","
Drama            ","209,920","$7.10M","
    Director:
Asghar Farhadi
                 | 
    Stars:
Payman Maadi, 
Leila Hatami, 
Sareh Bayat, 
Shahab Hosseini
    ","
    A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease."
"319.","Southpaw","7.4","(2015)","124 min","
Drama, Sport            ","209,871","$52.42M","
    Director:
Antoine Fuqua
                 | 
    Stars:
Jake Gyllenhaal, 
Rachel McAdams, 
Oona Laurence, 
Forest Whitaker
    ","
    A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction."
"320.","Insurgent","6.2","(2015)","119 min","
Action, Adventure, Sci-Fi            ","209,705","$130.18M","
    Director:
Robert Schwentke
                 | 
    Stars:
Shailene Woodley, 
Ansel Elgort, 
Theo James, 
Kate Winslet
    ","
    Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side."
"321.","Sinister","6.8","(I) (2012)","110 min","
Horror, Mystery, Thriller            ","209,256","$48.09M","
    Director:
Scott Derrickson
                 | 
    Stars:
Ethan Hawke, 
Juliet Rylance, 
James Ransone, 
Fred Dalton Thompson
    ","
    Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies which suggest the murder he's currently researching is the work of a serial killer whose work dates back to the 1960s."
"322.","Ford v Ferrari","8.1","(2019)","152 min","
Action, Biography, Drama            ","208,897","$117.62M","
    Director:
James Mangold
                 | 
    Stars:
Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitriona Balfe
    ","
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966."
"323.","Marriage Story","8.0","(2019)","137 min","
Comedy, Drama, Romance            ","208,714","$52.00M","
    Director:
Noah Baumbach
                 | 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
    ","
    Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together."
"324.","Predators","6.4","(2010)","107 min","
Action, Adventure, Sci-Fi            ","206,596","$75.76M","
    Director:
Nimr¨®d Antal
                 | 
    Stars:
Adrien Brody, 
Laurence Fishburne, 
Topher Grace, 
Alice Braga
    ","
    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race."
"325.","The Intern","7.1","(I) (2015)","121 min","
Comedy, Drama            ","206,569","$70.66M","
    Director:
Nancy Meyers
                 | 
    Stars:
Robert De Niro, 
Anne Hathaway, 
Rene Russo, 
Anders Holm
    ","
    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
"326.","No Strings Attached","6.2","(I) (2011)","108 min","
Comedy, Romance            ","206,494","$53.86M","
    Director:
Ivan Reitman
                 | 
    Stars:
Natalie Portman, 
Ashton Kutcher, 
Kevin Kline, 
Cary Elwes
    ","
    A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
"327.","Focus","6.6","(II) (2015)","105 min","
Comedy, Crime, Drama            ","206,330","$89.22M","
    Directors:
Glenn Ficarra, 
John Requa
                 | 
    Stars:
Will Smith, 
Margot Robbie, 
Rodrigo Santoro, 
Adrian Martinez
    ","
    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
"328.","Don't Breathe","7.1","(2016)","88 min","
Crime, Horror, Thriller            ","206,055","$44.07M","
    Director:
Fede Alvarez
                 | 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
    ","
    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
"329.","Hereditary","7.3","(2018)","127 min","
Drama, Horror, Mystery            ","205,788","$0.35M","
    Director:
Ari Aster
                 | 
    Stars:
Toni Collette, 
Milly Shapiro, 
Gabriel Byrne, 
Alex Wolff
    ","
    A grieving family is haunted by tragic and disturbing occurrences."
"330.","Jojo Rabbit","7.9","(2019)","108 min","
Comedy, Drama, War            ","205,362","$58.01M","
    Director:
Taika Waititi
                 | 
    Stars:
Roman Griffin Davis, 
Thomasin McKenzie, 
Scarlett Johansson, 
Taika Waititi
    ","
    A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home."
"331.","The Lincoln Lawyer","7.3","(2011)","118 min","
Crime, Drama, Thriller            ","205,124","$336.05M","
    Director:
Brad Furman
                 | 
    Stars:
Matthew McConaughey, 
Marisa Tomei, 
Ryan Phillippe, 
William H. Macy
    ","
    A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime."
"332.","Minions","6.4","(2015)","91 min","
Animation, Adventure, Comedy            ","204,590","$85.71M","
    Directors:
Kyle Balda, 
Pierre Coffin
                 | 
    Stars:
Sandra Bullock, 
Jon Hamm, 
Michael Keaton, 
Pierre Coffin
    ","
    Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
"333.","Alita: Battle Angel","7.3","(2019)","122 min","
Action, Adventure, Sci-Fi            ","204,487","$155.19M","
    Director:
Robert Rodriguez
                 | 
    Stars:
Rosa Salazar, 
Christoph Waltz, 
Jennifer Connelly, 
Mahershala Ali
    ","
    A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is."
"334.","San Andreas","6.0","(2015)","114 min","
Action, Adventure, Drama            ","203,468","$355.56M","
    Director:
Brad Peyton
                 | 
    Stars:
Dwayne Johnson, 
Carla Gugino, 
Alexandra Daddario, 
Colton Haynes
    ","
    In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
"335.","Aladdin","7.0","(2019)","128 min","
Adventure, Family, Fantasy            ","203,416","$8.70M","
    Director:
Guy Ritchie
                 | 
    Stars:
Will Smith, 
Mena Massoud, 
Naomi Scott, 
Marwan Kenzari
    ","
    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
